Team,Implied_Odds,Year,Title_Odds
Golden State Warriors,0.6402878,2019,-178
Milwaukee Bucks,0.1379310,2019,625
Houston Rockets,0.0952381,2019,950
Toronto Raptors,0.0930233,2019,975
Boston Celtics,0.0606061,2019,1550
Philadelphia 76ers,0.0322581,2019,3000
Oklahoma City Thunder,0.0322581,2019,3000
Denver Nuggets,0.0294118,2019,3300
Utah Jazz,0.0149254,2019,6600
Portland Trail Blazers,0.0099010,2019,10000
San Antonio Spurs,0.0039841,2019,25000
Los Angeles Clippers,0.0019960,2019,50000
Indiana Pacers,0.0013316,2019,75000
Orlando Magic,0.0013316,2019,75000
Detroit Pistons,0.0006662,2019,150000
Brooklyn Nets,0.0006662,2019,150000
Golden State Warriors,0.4219409,2018,137
Houston Rockets,0.3257329,2018,207
Cleveland Cavaliers,0.1111111,2018,800
Toronto Raptors,0.0851064,2018,1075
Philadelphia 76ers,0.0571429,2018,1650
Oklahoma City Thunder,0.0250000,2018,3900
Portland Trail Blazers,0.0169492,2018,5800
Utah Jazz,0.0163934,2018,6000
Boston Celtics,0.0099010,2018,10000
San Antonio Spurs,0.0099010,2018,10000
Washington Wizards,0.0049751,2018,20000
New Orleans Pelicans,0.0039841,2018,25000
Minnesota Timberwolves,0.0039841,2018,25000
Milwaukee Bucks,0.0039841,2018,25000
Indiana Pacers,0.0033223,2018,30000
Miami Heat,0.0033223,2018,30000
Golden State Warriors,0.6336996,2017,-173
Cleveland Cavaliers,0.1980198,2017,405
San Antonio Spurs,0.0869565,2017,1050
Boston Celtics,0.0363636,2017,2650
Houston Rockets,0.0333333,2017,2900
Toronto Raptors,0.0243902,2017,4000
Los Angeles Clippers,0.0178571,2017,5500
Washington Wizards,0.0136054,2017,7250
Utah Jazz,0.0066225,2017,15000
Oklahoma City Thunder,0.0044248,2017,22500
Atlanta Hawks,0.0042373,2017,23500
Memphis Grizzlies,0.0039841,2017,25000
Milwaukee Bucks,0.0039841,2017,25000
Portland Trail Blazers,0.0033223,2017,30000
